Instance name,vCPUs,Memory,Network Performance,Storage,On-Demand Hourly Cost,CurrentGeneration,Potential Effective Hourly Cost (Savings %)
t3.medium,2,4 GiB,Up to 5 Gigabit,EBS only,0.0416,Yes,0.0156 (62%)
c6gn.medium,1,2 GiB,Up to 25 Gigabit,EBS only,0.0432,Yes,0.0161 (63%)
m6gd.medium,1,4 GiB,Up to 10 Gigabit,1 x 59 NVMe SSD,0.0452,Yes,0.0170 (62%)
c7gd.medium,1,2 GiB,Up to 12500 Megabit,1 x 59 NVMe SSD,0.0454,Yes,0.0165 (64%)
t2.medium,2,4 GiB,Low to Moderate,EBS only,0.0464,Yes,0.0174 (62%)
r6g.medium,1,8 GiB,Up to 10 Gigabit,EBS only,0.0504,Yes,0.0189 (62%)
c7a.medium,1,2 GiB,Up to 12500 Megabit,EBS only,0.05132,Yes,0.0197 (62%)
m7gd.medium,1,4 GiB,Up to 12500 Megabit,1 x 59 NVMe SSD,0.0534,Yes,0.0201 (62%)
r7g.medium,1,8 GiB,Up to 12500 Megabit,EBS only,0.0536,Yes,0.0212 (61%)
r6gd.medium,1,8 GiB,Up to 10 Gigabit,1 x 59 NVMe SSD,0.0576,Yes,0.0217 (62%)
m7a.medium,1,4 GiB,Up to 12500 Megabit,EBS only,0.05796,Yes,0.0229 (61%)
c7gn.medium,1,2 GiB,Up to 25 Gigabit,EBS only,0.0624,Yes,0.0197 (68%)
t4g.large,2,8 GiB,Up to 5 Gigabit,EBS only,0.0672,Yes,0.0253 (62%)
c6g.large,2,4 GiB,Up to 10 Gigabit,EBS only,0.068,Yes,0.0256 (62%)
r7gd.medium,1,8 GiB,Up to 12500 Megabit,1 x 59 NVMe SSD,0.068,Yes,0.0256 (62%)
c7g.large,2,4 GiB,Up to 12500 Megabit,EBS only,0.0723,Yes,0.0277 (62%)
t3a.large,2,8 GiB,Up to 5 Gigabit,EBS only,0.0752,Yes,0.0283 (62%)
r7a.medium,1,8 GiB,Up to 12500 Megabit,EBS only,0.07608,Yes,0.0300 (61%)
c6a.large,2,4 GiB,Up to 12500 Megabit,EBS only,0.0765,Yes,0.0293 (62%)
